patient_id,arrival_ts,got_greeter_ts,release_greeter_ts,got_reg_ts,release_reg_ts,got_vaccinator_ts,release_vaccinator_ts,got_scheduler_ts,release_scheduler_ts,exit_system_ts
2,0.2883726236719546,0.2883726236719546,0.5659440212072435,0.5659440212072435,1.4841528592634528,1.4841528592634528,4.780552224040818,,,19.917641281847025
7,0.8278647963141194,0.8278647963141194,1.1284928769132794,1.4145433394428244,1.6497762041079722,1.6497762041079722,4.957686860055656,4.957686860055656,5.907608861226763,20.040779614118872
1,0.2591639414634509,0.2591639414634509,0.4346285429709167,0.4346285429709167,1.1394926047531913,1.1394926047531913,5.369086820217847,,,20.62836788497707
4,0.7177108166650722,0.7177108166650722,0.9391338652892522,0.9391338652892522,1.4988037552922349,1.4988037552922349,5.189882365391256,,,20.689176785625506
9,0.9623936547446154,0.9623936547446154,1.2733849518023328,1.4988037552922349,2.809295329333988,2.809295329333988,5.883869775013562,,,21.32393297295673
6,0.8045761087385055,0.8045761087385055,1.1114378367784479,1.1394926047531913,1.4145433394428244,1.4145433394428244,5.805685079064065,5.805685079064065,6.92610905152882,21.522893876021005
10,1.1631686377333597,1.1631686377333597,1.3815480681913894,1.6497762041079722,1.884211234154039,1.884211234154039,6.088611903357834,,,21.578834908504973
11,1.1858592071062812,1.1858592071062812,1.465394530387409,1.884211234154039,2.418574031609727,2.418574031609727,6.117358884465074,,,22.50377578269512
8,0.9114024293241012,0.9114024293241012,1.2259096327218568,1.4841528592634528,3.082516539205506,3.082516539205506,7.021205579117699,7.021205579117699,7.959012373519399,22.505592054013707
12,1.428351070482998,1.428351070482998,1.7464468226611936,2.418574031609727,2.505353081678205,2.505353081678205,7.609211661569599,,,22.777307392919703
3,0.4102866904979777,0.4102866904979777,0.7543929131959402,0.7543929131959402,2.6308126297687826,2.6308126297687826,6.685531914798626,6.685531914798626,8.027750864110427,22.884507267246722
14,2.380181743017098,2.380181743017098,2.648928611086742,2.648928611086742,3.531206509638259,3.531206509638259,8.122506166531009,8.122506166531009,9.016878263899457,23.184573913663186
5,0.7737418635168912,0.7737418635168912,1.0120814233436368,1.0120814233436368,3.653296493525614,3.653296493525614,7.693570534530094,,,23.568022578632238
13,2.1075568424908475,2.1075568424908475,2.366101090371431,2.505353081678205,4.0900032295723445,4.0900032295723445,8.796999547172696,,,24.31101358274298
15,2.4566639084418305,2.4566639084418305,2.7096924743090858,2.809295329333988,2.999285709128607,2.999285709128607,6.783376452938953,6.783376452938953,7.759281955537311,24.321984578841704
16,3.852364294896221,3.852364294896221,4.0874209602799825,4.0874209602799825,5.255705762061858,5.255705762061858,9.507561507995216,,,25.372885324959366
18,5.274994479554911,5.274994479554911,5.507347874482084,5.507347874482084,6.173404377416896,6.173404377416896,10.596921631232865,10.596921631232865,11.37543755247448,26.081907080480317
23,6.784568869130739,6.784568869130739,7.0672220437965505,7.0672220437965505,7.082154858159832,7.082154858159832,11.08634312221626,11.08634312221626,12.093722963694379,26.103230025723345
19,6.247945102044747,6.247945102044747,6.537397571958259,6.537397571958259,6.8045576403687456,6.8045576403687456,11.12329135947186,11.12329135947186,12.247958136806247,26.380613990478267
22,6.535602861054544,6.535602861054544,6.784245033579009,6.784245033579009,7.762156107758402,7.762156107758402,11.15147450028564,,,26.41096442138818
17,4.841974152924569,4.841974152924569,5.065702861297749,5.065702861297749,7.445251532660757,7.445251532660757,11.183768840771613,,,26.845845688715208
20,6.24830175569784,6.24830175569784,6.469691135673551,6.469691135673551,6.951917620733816,6.951917620733816,10.087563566251422,10.087563566251422,10.970099933530928,27.02951379687271
24,7.568471733160367,7.568471733160367,7.8163889529102155,7.8163889529102155,8.406560232000357,8.406560232000357,11.539038173775694,,,27.697809903379614
26,7.903599008167225,7.903599008167225,8.232901021118499,8.232901021118499,8.386061124003737,8.386061124003737,11.952263517384957,11.952263517384957,13.029264761090658,28.81949299863867
27,7.932829172246828,7.932829172246828,8.139415073210259,8.139415073210259,9.811063415367386,9.811063415367386,13.858851567465168,13.858851567465168,14.998660678061606,28.929888413438597
29,8.658875221166912,8.658875221166912,8.899103848545641,8.899103848545641,10.170801319349943,10.170801319349943,14.004317008213476,14.004317008213476,15.050326713281494,29.830257950597105
30,9.587539293709517,9.587539293709517,9.8606481082021,9.8606481082021,11.083149933675868,11.083149933675868,15.763899778465024,15.763899778465024,16.698925085492526,31.09053089411759
32,9.82783877401276,9.82783877401276,10.117211339128074,10.170801319349943,12.523636743327415,12.523636743327415,16.179685643711167,,,31.493595342456047
25,7.867377084442916,7.867377084442916,8.140661383655825,8.140661383655825,10.59663883329713,10.59663883329713,15.49504645376652,,,31.515236906560965
21,6.3944431577386025,6.3944431577386025,6.687389086617744,6.687389086617744,11.182530467652615,11.182530467652615,15.102040122035056,15.102040122035056,16.447705030117124,31.56070660447411
31,9.803676421121917,9.803676421121917,10.118584685034255,10.59663883329713,12.434517489785444,12.434517489785444,16.31307103721259,16.31307103721259,17.352350557411636,32.10738535310419
28,8.350540138688661,8.350540138688661,8.60930835374784,8.60930835374784,12.271167803813103,12.271167803813103,16.550857799150677,16.550857799150677,17.734572791865727,32.14717234477548
33,11.510039668186085,11.510039668186085,11.77113135469096,11.77113135469096,12.531928525713198,12.531928525713198,16.902554633303623,16.902554633303623,18.27516278491701,32.2956177180889
38,13.006967492612088,13.006967492612088,13.265365357558391,13.265365357558391,13.378234668746117,13.378234668746117,17.735795020602247,,,32.76211073069209
40,13.381121265636947,13.381121265636947,13.595364570623703,13.595364570623703,14.339386485548816,14.339386485548816,17.86821883850394,17.86821883850394,18.91116617112772,32.888703783855824
36,12.612148320475717,12.612148320475717,12.853892163370613,12.853892163370613,13.33827673656317,13.33827673656317,17.417830987700167,17.417830987700167,18.26723246553578,33.327308464936735
34,11.941756038006554,11.941756038006554,12.194505267026825,12.194505267026825,13.72721126511326,13.72721126511326,18.438143666754996,,,33.47733653997945
42,13.557509375330486,13.557509375330486,13.880525149037787,13.880525149037787,14.103294474001787,14.103294474001787,17.983585928960377,,,33.52780126950397
35,12.178705899647897,12.178705899647897,12.383521861865612,12.383521861865612,14.536303414846273,14.536303414846273,18.826335280865287,18.826335280865287,19.960797837177648,33.8276561101256
39,13.090857769197946,13.090857769197946,13.336761792870165,13.33827673656317,13.877739325882795,13.877739325882795,18.467351299706962,18.467351299706962,19.71459559768185,34.18555546470748
41,13.485599749755513,13.485599749755513,13.677216927636367,13.72721126511326,14.84453144796338,15.102040122035056,18.51299640153471,18.51299640153471,19.762055401002822,34.29862803722368
48,16.330508444328636,16.330508444328636,16.535029564212145,16.535029564212145,16.631609738008187,16.631609738008187,19.616052940545398,19.616052940545398,20.56848570896602,34.768983260951956
43,14.276082376176008,14.276082376176008,14.520780669162562,14.520780669162562,15.16946021433082,15.49504645376652,19.25683621664304,,,35.07583626181891
37,12.768557024014642,12.768557024014642,13.056143126373524,13.056143126373524,13.770699892614118,13.770699892614118,17.811661806103853,17.811661806103853,19.037880153521687,35.08993457681219
45,15.321122195129272,15.321122195129272,15.54922142741027,15.54922142741027,16.376842591322983,16.376842591322983,21.01401327017973,21.01401327017973,22.070008977175007,36.039754553414944
