ts,occ
0.0,0.0
1.4841528592634528,1.0
1.5522245673822177,2.0
1.9101577032211345,3.0
2.1453905678862824,4.0
2.279700157512368,5.0
2.5479065869820707,6.0
2.6397881549798927,7.0
2.782341617028137,8.0
2.7929480558693207,9.0
3.0217039312327287,10.0
3.17415095243558,11.0
3.590191731554121,12.0
3.6101864244093207,13.0
3.7437542478283357,14.0
4.888128007042583,13.0
4.975137099541105,14.0
5.236018871962515,13.0
5.441789932663648,12.0
5.855817242929755,11.0
5.970778767611389,10.0
6.301299442842375,9.0
6.491732908724668,8.0
6.5565589909802355,9.0
6.586389982931209,10.0
6.684760870088894,9.0
6.8441888241836875,8.0
6.876410525035733,7.0
7.020573912237806,6.0
7.146895117513532,7.0
7.231460771231539,6.0
7.485196786259559,5.0
7.571085248558743,6.0
8.015075320504952,7.0
8.125562511124123,6.0
8.605246599595095,7.0
8.692937091833905,8.0
8.852481911269868,9.0
9.682133417141458,8.0
9.88378007212766,9.0
10.587910591863409,8.0
10.980076244796205,7.0
11.40439371303219,6.0
11.463598684073803,7.0
11.57527351261517,6.0
11.597681168554423,7.0
11.687310623785002,8.0
11.70867312492617,9.0
11.78032344161132,10.0
11.800844503840342,9.0
12.028918935174957,10.0
12.094052905116582,11.0
12.433108802190553,12.0
12.667036265955417,11.0
12.739768520098982,12.0
12.838089591724176,11.0
13.172150136658928,12.0
13.308707811468558,13.0
13.449982465508878,12.0
13.485957221346649,11.0
13.656534709851485,12.0
13.745152262729341,13.0
14.075153219728332,14.0
14.49727438214941,15.0
15.228671418632816,14.0
15.272234526688594,15.0
15.61775395943982,14.0
15.61775395943982,15.0
15.88113041990913,14.0
15.88113041990913,15.0
15.981268424367702,14.0
15.981268424367702,15.0
16.109659439097726,14.0
16.109659439097726,15.0
16.121545195319285,14.0
16.121545195319285,15.0
16.123788992408222,14.0
16.22127465084619,15.0
16.255121151228643,14.0
16.295860038859463,13.0
16.67716434336704,14.0
16.858273594193893,15.0
17.548011160247746,14.0
17.548011160247746,15.0
17.71254895825422,14.0
17.71254895825422,15.0
17.736088960988482,14.0
17.88784846486508,13.0
18.04126553110944,14.0
18.0643217970777,15.0
18.41091910703349,14.0
18.4891677803548,15.0
18.9133598101686,14.0
18.9133598101686,15.0
19.028710238939475,14.0
19.028710238939475,15.0
19.219217456554126,14.0
19.219217456554126,15.0
19.64292018278565,14.0
19.701280369887527,15.0
20.17455246936884,14.0
20.17455246936884,15.0
20.200104235717376,14.0
20.200104235717376,15.0
20.29044090472129,14.0
20.29044090472129,15.0
20.58870463627629,14.0
20.58870463627629,15.0
20.696575257230542,14.0
20.696575257230542,15.0
21.44184716119384,14.0
21.44184716119384,15.0
21.87027942320227,14.0
21.87027942320227,15.0
21.992481475359508,14.0
22.116687544098248,13.0
22.54254117553627,12.0
22.58498151906487,11.0
22.96093680364421,10.0
23.166427585811768,9.0
23.334986647045692,10.0
23.50316632335321,11.0
23.691991519797888,10.0
23.761739284908575,9.0
23.876902170021268,8.0
23.898777352625697,9.0
24.343862805105328,8.0
24.420543502658568,7.0
24.454852975404297,6.0
24.616295960373236,7.0
24.800894849848262,8.0
24.89942644080138,7.0
24.926292601776417,8.0
25.022637205915025,9.0
25.242473944255753,10.0
25.329100077141018,11.0
25.753569936164787,10.0
25.82591778642925,11.0
26.545142885673044,12.0
26.644230657918094,11.0
26.68742848354655,12.0
26.99639640376286,13.0
27.738245114201646,12.0
27.745607419439715,13.0
27.78206194966348,12.0
28.31121865432071,13.0
28.324378585880858,12.0
28.385238691706963,11.0
28.4492841918859,12.0
28.704964719871107,13.0
28.83153086945402,12.0
28.99017085682177,11.0
29.016130154620026,12.0
29.087026626262038,11.0
29.17707640964894,10.0
29.24077709384114,11.0
29.533976054451074,10.0
29.653474570986543,9.0
30.372636752202244,8.0
30.456768047291902,7.0
30.65225626977745,8.0
30.657971546619276,7.0
30.693226160481224,8.0
30.71196917516167,9.0
30.720613340038106,10.0
31.316188864858102,11.0
31.877980517973203,10.0
31.912864617969994,11.0
32.31208354084093,10.0
32.46195937611623,9.0
32.5261073154742,8.0
32.679007065111975,9.0
32.722772843496344,8.0
33.006334408833844,7.0
33.151964517271864,8.0
33.62285828588672,9.0
33.84169525763893,10.0
33.94575539395536,11.0
34.18261841080567,10.0
34.30200143839634,9.0
34.76803622462436,10.0
35.20929082284523,9.0
35.31956939002105,10.0
35.41968940738026,11.0
35.431715908091746,10.0
35.436012455819736,9.0
36.08446255007451,10.0
36.104987132344796,11.0
36.153591211840755,12.0
36.18716812731855,11.0
36.303828060167895,12.0
36.4478558169995,13.0
36.48325867445275,14.0
37.002175107404646,15.0
37.27648918138004,14.0
37.27648918138004,15.0
37.52170220823895,14.0
37.52170220823895,15.0
37.553849878654766,14.0
37.55771370070942,15.0
37.62443020293079,14.0
37.67041587277289,13.0
37.8495436991952,14.0
38.09711310214679,15.0
38.828108924394975,14.0
38.828108924394975,15.0
38.865501011658985,14.0
