ts,occ
0.0,0.0
4.888128007042583,1.0
5.236018871962515,2.0
5.441789932663648,3.0
5.855817242929755,4.0
5.970778767611389,5.0
6.301299442842375,6.0
6.491732908724668,7.0
6.684760870088894,8.0
6.8441888241836875,9.0
6.876410525035733,10.0
7.020573912237806,11.0
7.231460771231539,12.0
7.485196786259559,13.0
8.125562511124123,14.0
9.682133417141458,15.0
10.587910591863409,16.0
10.980076244796205,17.0
11.40439371303219,18.0
11.57527351261517,19.0
11.800844503840342,20.0
12.667036265955417,21.0
12.838089591724176,22.0
13.449982465508878,23.0
13.485957221346649,24.0
15.228671418632816,25.0
15.61775395943982,26.0
15.88113041990913,27.0
15.981268424367702,28.0
16.109659439097726,29.0
16.121545195319285,30.0
16.123788992408222,31.0
16.255121151228643,32.0
16.295860038859463,33.0
17.548011160247746,34.0
17.71254895825422,35.0
17.736088960988482,36.0
17.88784846486508,37.0
18.41091910703349,38.0
18.9133598101686,39.0
19.028710238939475,40.0
19.219217456554126,41.0
19.64292018278565,42.0
20.17455246936884,43.0
20.200104235717376,44.0
20.29044090472129,45.0
20.50655040017494,44.0
20.58870463627629,45.0
20.696575257230542,46.0
21.340203717825762,45.0
21.347082443808315,44.0
21.44184716119384,45.0
21.62243577019256,44.0
21.64076528511174,43.0
21.87027942320227,44.0
21.971846784172353,43.0
21.992481475359508,44.0
22.00385960623116,43.0
22.116687544098248,44.0
22.196044129058688,43.0
22.275552799653642,42.0
22.36618495282681,41.0
22.467611129371328,40.0
22.54254117553627,41.0
22.58498151906487,42.0
22.608054556132544,41.0
22.75035778704148,40.0
22.96093680364421,41.0
23.166427585811768,42.0
23.691991519797888,43.0
23.761739284908575,44.0
23.876902170021268,45.0
24.033935142413178,44.0
24.343862805105328,45.0
24.420543502658568,46.0
24.454852975404297,47.0
24.89942644080138,48.0
25.69376113713655,47.0
25.753569936164787,48.0
25.840905146745378,47.0
26.45019332200832,46.0
26.644230657918094,47.0
27.681796097548272,46.0
27.738245114201646,47.0
27.78206194966348,48.0
27.88073178587023,47.0
28.16504010715723,46.0
28.228745059332834,45.0
28.32181906203311,44.0
28.324378585880858,45.0
